Hypothesis,Group,Predictor,Outcome,n,Normality predictor,Normality outcome,Method,Coefficient,R2,p-value,Significance,Result,Interpretation sentence
H3,Men U23,Arm circumference (cm),Total Sinclair score (calculated),46,normal,normal,Pearson r,0.149,0.022,0.321,ns,not statistically significant,"In Men U23, Arm circumference (cm) showed a weak positive association with Total Sinclair score (calculated) (Pearson r, r = 0.15, R² = 0.02, p = 0.321), which was not statistically significant."
H3,Men U23,Arm circumference (cm),Sinclair score,46,normal,normal,Pearson r,0.15,0.022,0.321,ns,not statistically significant,"In Men U23, Arm circumference (cm) showed a weak positive association with Sinclair score (Pearson r, r = 0.15, R² = 0.02, p = 0.321), which was not statistically significant."
H3,Men U23,Thigh circumference (cm),Snatch (kg),46,normal,normal,Pearson r,0.679,0.461,0.0,***,statistically significant,"In Men U23, Thigh circumference (cm) showed a strong positive association with Snatch (kg) (Pearson r, r = 0.68, R² = 0.46, p < 0.001), which was statistically significant."
H3,Men U23,Thigh circumference (cm),Clean & Jerk (kg),46,normal,normal,Pearson r,0.707,0.499,0.0,***,statistically significant,"In Men U23, Thigh circumference (cm) showed a very strong positive association with Clean & Jerk (kg) (Pearson r, r = 0.71, R² = 0.50, p < 0.001), which was statistically significant."
H3,Men U23,Thigh circumference (cm),Total (kg),46,normal,normal,Pearson r,0.702,0.493,0.0,***,statistically significant,"In Men U23, Thigh circumference (cm) showed a very strong positive association with Total (kg) (Pearson r, r = 0.70, R² = 0.49, p < 0.001), which was statistically significant."
H3,Men U23,Thigh circumference (cm),Snatch Sinclair score,46,normal,normal,Pearson r,-0.032,0.001,0.833,ns,not statistically significant,"In Men U23, Thigh circumference (cm) showed a negligible negative association with Snatch Sinclair score (Pearson r, r = -0.03, R² = 0.00, p = 0.833), which was not statistically significant."
H3,Men U23,Thigh circumference (cm),Clean & Jerk Sinclair score,46,normal,normal,Pearson r,0.028,0.001,0.851,ns,not statistically significant,"In Men U23, Thigh circumference (cm) showed a negligible positive association with Clean & Jerk Sinclair score (Pearson r, r = 0.03, R² = 0.00, p = 0.851), which was not statistically significant."
H3,Men U23,Thigh circumference (cm),Total Sinclair score (calculated),46,normal,normal,Pearson r,0.001,0.0,0.994,ns,not statistically significant,"In Men U23, Thigh circumference (cm) showed a negligible positive association with Total Sinclair score (calculated) (Pearson r, r = 0.00, R² = 0.00, p = 0.994), which was not statistically significant."
H3,Men U23,Thigh circumference (cm),Sinclair score,46,normal,normal,Pearson r,0.001,0.0,0.994,ns,not statistically significant,"In Men U23, Thigh circumference (cm) showed a negligible positive association with Sinclair score (Pearson r, r = 0.00, R² = 0.00, p = 0.994), which was not statistically significant."
H3,Women U20,Arm circumference (cm),Snatch (kg),60,normal,normal,Pearson r,0.724,0.524,0.0,***,statistically significant,"In Women U20, Arm circumference (cm) showed a very strong positive association with Snatch (kg) (Pearson r, r = 0.72, R² = 0.52, p < 0.001), which was statistically significant."
