,Umístění,Lot,B.weight,Snatch,Clean_Jerk,Result,Délka_ruky_(cm),Délka_nohy_(cm),Biceps_(cm),Stehno_(cm),Výška_(cm),Handgrip_P,Handgrip_L,CMJ_Height,CMJ_Force,CMJ_RFD,CMJ_Power,SJ_Height,SJ_Power,SJ_Force,Weight,Sinclair,Handgrip_max,EUR,RAL,RLL
count,379.0,378.0,379.0,379.0,379.0,379.0,214.0,214.0,213.0,214.0,214.0,209.0,209.0,140.0,140.0,140.0,140.0,138.0,138.0,138.0,139.0,379.0,210.0,138.0,214.0,214.0
mean,6.907651715039578,483.1984126984127,77.08532981530342,111.1952506596306,136.69920844327177,247.89445910290237,59.85514018691589,78.28551401869159,34.478873239436616,60.640654205607476,166.0214953271028,52.1755980861244,50.198564593301434,46.87728571428571,2017.462142857143,6205.627142857143,4918.977785714285,42.4663768115942,4779.5414492753625,1978.9911594202902,76.75582733812949,315.342691292876,53.46761904761905,1.1148301881700435,36.10774129382051,47.120501978219416
std,4.502135827654672,286.3569961223979,22.01914473838577,30.783058603082527,36.55204703199156,67.10482556955114,4.583348789966798,12.066016588224727,4.470371502004217,5.964714833433708,10.118198433393998,13.551891996464644,13.25127888773273,9.686784280758642,440.03149426655165,2889.5670074907116,1341.3120120138938,8.647839605495587,1318.5372243316642,447.20023380847414,20.40161910665108,75.044591943986,13.58680752794965,0.12748345540942507,2.5679003943975185,6.700941084477943
min,1.0,1.0,44.89,56.0,76.0,132.0,40.0,41.0,24.5,44.0,140.0,24.8,24.2,22.05,1062.76,195.85,2261.41,27.09,2169.52,1017.68,45.23,173.32,24.8,0.7193932827735645,21.409921671018274,25.287356321839084
25%,3.0,232.25,62.335,84.5,106.0,189.0,57.0,77.625,31.0,57.0,160.5,42.1,40.7,39.01,1659.0975,4323.745,3896.955,35.5525,3641.7075,1614.6625000000001,62.870000000000005,247.03,42.75,1.0465736733247792,35.070600632244464,47.17079384753101
50%,6.0,451.5,70.84,105.0,130.0,232.0,60.0,81.0,34.0,60.0,165.0,50.0,48.4,47.14,1988.075,6299.93,4869.82,42.98,4755.98,1951.325,72.17,291.18,51.8,1.0895769730444276,36.14809090589765,48.78048780487805
75%,10.0,740.75,87.32499999999999,137.5,166.5,304.5,62.0,84.0,37.5,64.0,171.875,61.0,60.6,53.835,2303.0975,7744.025,5749.62,48.98,5533.3,2206.3,86.035,389.315,64.55,1.1626631425241762,36.82539682539683,50.0
max,23.0,998.0,166.77,182.0,216.0,397.0,73.0,94.0,50.0,84.0,195.0,99.4,90.5,74.99,3098.83,18598.73,8122.34,63.22,8246.48,3160.21,160.79,466.84,99.4,1.7636080870917576,46.41638225255973,60.0
