,H1_CMJ,H1_SJ,H2_snatch,H2_cj,H2_total,H2_sinclair,H3_biceps,H3_thigh,H5,H4
Pearson_r,0.5310722106393322,0.4981013910280365,0.8124045978198788,0.8105245758446835,0.8144614826958442,0.6942688618311652,0.8092524322692904,0.4977186921688905,0.18258106262032456,
Pearson_p,1.4774145794250487e-11,5.089489260570914e-10,1.2740866262741564e-50,3.233756622378083e-50,4.543424890724583e-51,1.5422399611007806e-31,1.2154011314544825e-50,8.53701667738296e-15,0.03208234348323181,
Spearman_r,0.5439939044674453,0.4816083053029531,0.8283394656945706,0.8251206203751339,0.8292516835276311,0.7006866609800402,0.8223156357811825,0.47532079078773665,0.11570274352486143,
Spearman_p,3.7501171867263835e-12,2.2306361218063058e-09,3.040014700354958e-54,1.7540542233719254e-53,1.8377000550142506e-54,2.4933493733125984e-32,1.4356766745955602e-53,1.8420007425262013e-13,0.17657387909527655,
RAL,,,,,,,,,,"{'test': 'Mann-Whitney', 'p_value': np.float64(0.020622232434381348), 'cohens_d': np.float64(0.3679289491436757)}"
RLL,,,,,,,,,,"{'test': 'Mann-Whitney', 'p_value': np.float64(0.21063870725702383), 'cohens_d': np.float64(0.2686730332463924)}"
CMJ_Height,,,,,,,,,,"{'test': 'Mann-Whitney', 'p_value': np.float64(1.4405247650404971e-05), 'cohens_d': np.float64(0.8124685583451443)}"
SJ_Height,,,,,,,,,,"{'test': 'Mann-Whitney', 'p_value': np.float64(7.300267901748284e-05), 'cohens_d': np.float64(0.8991543721855304)}"
Handgrip_max,,,,,,,,,,"{'test': 'Mann-Whitney', 'p_value': np.float64(9.484004304410488e-13), 'cohens_d': np.float64(1.1842794021292378)}"
